Date,Adj Close,Actions
6/29/2017,142.605316,1
6/30/2017,142.942795,1
7/3/2017,142.426682,1
7/5/2017,143.012253,1
7/6/2017,141.66243,0
7/7/2017,143.101578,0
7/10/2017,143.975006,1
7/11/2017,144.441483,1
7/12/2017,144.649918,0
7/13/2017,146.664749,0
7/14/2017,147.925232,1
7/17/2017,148.441345,1
7/18/2017,148.957474,0
7/19/2017,149.890442,1
7/20/2017,149.215515,1
7/21/2017,149.146042,0
7/24/2017,150.952423,0
7/25/2017,151.59758,1
7/26/2017,152.31218,0
7/27/2017,149.433868,1
7/28/2017,148.38179,1
7/31/2017,147.617554,1
8/1/2017,148.927689,1
8/2/2017,155.964661,0
8/3/2017,154.406403,0
8/4/2017,155.220261,0
8/7/2017,157.622162,1
8/8/2017,158.88266,0
8/9/2017,159.855331,1
8/10/2017,154.763657,0
8/11/2017,156.915909,1
8/14/2017,159.27742,0
8/15/2017,161.021149,0
8/16/2017,160.373474,1
8/17/2017,157.29454,1
8/18/2017,156.935837,1
8/21/2017,156.646881,0
8/22/2017,159.207672,1
8/23/2017,159.406952,1
8/24/2017,158.699493,0
8/25/2017,159.287384,1
8/28/2017,160.891617,1
8/29/2017,162.326462,1
8/30/2017,162.764893,0
8/31/2017,163.412552,0
9/1/2017,163.462372,0
9/5/2017,161.499435,1
9/6/2017,161.330048,0
9/7/2017,160.682358,0
9/8/2017,158.061798,0
9/11/2017,160.921509,1
9/12/2017,160.283798,0
9/13/2017,159.078125,1
9/14/2017,157.713043,0
9/15/2017,159.307312,0
9/18/2017,158.101639,1
9/19/2017,158.161423,0
9/20/2017,155.510971,1
9/21/2017,152.840561,0
9/22/2017,151.345932,1
9/25/2017,150.010727,0
9/26/2017,152.591446,1
9/27/2017,153.677551,0
9/28/2017,152.730957,0
9/29/2017,153.567932,1
10/2/2017,153.259048,1
10/3/2017,153.926651,0
10/4/2017,152.930237,0
10/5/2017,154.833389,1
10/6/2017,154.743713,1
10/9/2017,155.281784,0
10/10/2017,155.341553,0
10/11/2017,155.989243,1
10/12/2017,155.441208,0
10/13/2017,156.427673,1
10/16/2017,159.307312,0
10/17/2017,159.895203,0
10/18/2017,159.187729,0
10/19/2017,155.42128,1
10/20/2017,155.690308,1
10/23/2017,155.610596,0
10/24/2017,156.537277,0
10/25/2017,155.849747,1
10/26/2017,156.846161,1
10/27/2017,162.465958,1
10/30/2017,166.122803,0
10/31/2017,168.434494,1
11/1/2017,166.292206,0
11/2/2017,167.507828,1
11/3/2017,171.882111,1
11/6/2017,173.625839,0
11/7/2017,174.183823,1
11/8/2017,175.608719,0
11/9/2017,175.25,0
11/10/2017,174.669998,0
11/13/2017,173.970001,0
11/14/2017,171.339996,1
11/15/2017,169.080002,1
11/16/2017,171.100006,0
11/17/2017,170.149994,1
